id,nome,chiave,ruolo,squadra,modulo,allenatore,titolare,giornata_testo
118111,Keita M.,keita,C,Parma,4-2-2,Carlos Cuesta,1,domenica 20 settembre 2026 - ore 15:00
120544,Lontani S.,lontani,A,Parma,4-2-2,Carlos Cuesta,1,domenica 20 settembre 2026 - ore 15:00
120550,Romero D.,romero,A,Parma,4-2-2,Carlos Cuesta,1,domenica 20 settembre 2026 - ore 15:00
59898,Bijlow J.,bijlow,P,Genoa,2-4-1,De Rossi,1,domenica 20 settembre 2026 - ore 15:00
117727,Marcandalli A.,marcandalli,D,Genoa,2-4-1,De Rossi,1,domenica 20 settembre 2026 - ore 15:00
109993,Østigård L.,stigard,D,Genoa,2-4-1,De Rossi,1,domenica 20 settembre 2026 - ore 15:00
102850,Baldanzi T.,baldanzi,C,Genoa,2-4-1,De Rossi,1,domenica 20 settembre 2026 - ore 15:00
110634,Ellertsson M.,ellertsson,C,Genoa,2-4-1,De Rossi,1,domenica 20 settembre 2026 - ore 15:00
110784,Frendrup M.,frendrup,C,Genoa,2-4-1,De Rossi,1,domenica 20 settembre 2026 - ore 15:00
54189,Sow D.,sow,C,Genoa,2-4-1,De Rossi,1,domenica 20 settembre 2026 - ore 15:00
95165,Colombo L.,colombo,A,Genoa,2-4-1,De Rossi,1,domenica 20 settembre 2026 - ore 15:00
110653,Palmisani L.,palmisani,P,Frosinone,3-4-3,Alvini,1,domenica 20 settembre 2026 - ore 15:00
115179,Bracaglia G.,bracaglia,D,Frosinone,3-4-3,Alvini,1,domenica 20 settembre 2026 - ore 15:00
112395,Cittadini G.,cittadini,D,Frosinone,3-4-3,Alvini,1,domenica 20 settembre 2026 - ore 15:00
113048,Oyono A.,oyono,D,Frosinone,3-4-3,Alvini,1,domenica 20 settembre 2026 - ore 15:00
58637,Calo G.,calo,C,Frosinone,3-4-3,Alvini,1,domenica 20 settembre 2026 - ore 15:00
51864,Grillitsch F.,grillitsch,C,Frosinone,3-4-3,Alvini,1,domenica 20 settembre 2026 - ore 15:00
110125,Masini P.,masini,C,Frosinone,3-4-3,Alvini,1,domenica 20 settembre 2026 - ore 15:00
59311,Schmid R.,schmid,C,Frosinone,3-4-3,Alvini,1,domenica 20 settembre 2026 - ore 15:00
118899,Ghedjemis F.,ghedjemis,A,Frosinone,3-4-3,Alvini,1,domenica 20 settembre 2026 - ore 15:00
116477,Kvernadze G.,kvernadze,A,Frosinone,3-4-3,Alvini,1,domenica 20 settembre 2026 - ore 15:00
109711,Raimondo A.,raimondo,A,Frosinone,3-4-3,Alvini,1,domenica 20 settembre 2026 - ore 15:00
45335,Vicario G.,vicario,P,Juventus,4-3-3,Spalletti,1,domenica 20 settembre 2026 - ore 18:00
67789,Bremer,bremer,D,Juventus,4-3-3,Spalletti,1,domenica 20 settembre 2026 - ore 18:00
66280,Celik Z.,celik,D,Juventus,4-3-3,Spalletti,1,domenica 20 settembre 2026 - ore 18:00
101889,Kalulu P.,kalulu,D,Juventus,4-3-3,Spalletti,1,domenica 20 settembre 2026 - ore 18:00
68545,Lucumi J.,lucumi,D,Juventus,4-3-3,Spalletti,1,domenica 20 settembre 2026 - ore 18:00
64532,Douglas Luiz,douglasluiz,C,Juventus,4-3-3,Spalletti,1,domenica 20 settembre 2026 - ore 18:00
104526,Francisco Conceicao,franciscoconceicao,C,Juventus,4-3-3,Spalletti,1,domenica 20 settembre 2026 - ore 18:00
68771,Koopmeiners T.,koopmeiners,C,Juventus,4-3-3,Spalletti,1,domenica 20 settembre 2026 - ore 18:00
120447,Alajbegovic K.,alajbegovic,A,Juventus,4-3-3,Spalletti,1,domenica 20 settembre 2026 - ore 18:00
95132,Gonzalez N.,gonzalez,A,Juventus,4-3-3,Spalletti,1,domenica 20 settembre 2026 - ore 18:00
95331,Kolo Muani R.,kolomuani,A,Juventus,4-3-3,Spalletti,1,domenica 20 settembre 2026 - ore 18:00
70334,Carnesecchi M.,carnesecchi,P,Atalanta,4-3-2,Sarri,1,domenica 20 settembre 2026 - ore 18:00
65433,Bellanova R.,bellanova,D,Atalanta,4-3-2,Sarri,1,domenica 20 settembre 2026 - ore 18:00
17350,Kolasinac S.,kolasinac,D,Atalanta,4-3-2,Sarri,1,domenica 20 settembre 2026 - ore 18:00
95516,Kossounou O.,kossounou,D,Atalanta,4-3-2,Sarri,1,domenica 20 settembre 2026 - ore 18:00
102886,Scalvini G.,scalvini,D,Atalanta,4-3-2,Sarri,1,domenica 20 settembre 2026 - ore 18:00
112712,Ederson,ederson,C,Atalanta,4-3-2,Sarri,1,domenica 20 settembre 2026 - ore 18:00
67792,Gaetano G.,gaetano,C,Atalanta,4-3-2,Sarri,1,domenica 20 settembre 2026 - ore 18:00
95081,Samardzic L.,samardzic,C,Atalanta,4-3-2,Sarri,1,domenica 20 settembre 2026 - ore 18:00
95519,De Ketelaere C.,deketelaere,A,Atalanta,4-3-2,Sarri,1,domenica 20 settembre 2026 - ore 18:00
61870,Scamacca G.,scamacca,A,Atalanta,4-3-2,Sarri,1,domenica 20 settembre 2026 - ore 18:00
42646,Maignan M.,maignan,P,Milan,3-5-1,Ruben Amorim,1,domenica 20 settembre 2026 - ore 20:45
102806,De Winter K.,dewinter,D,Milan,3-5-1,Ruben Amorim,1,domenica 20 settembre 2026 - ore 20:45
112625,Mario Gila,mariogila,D,Milan,3-5-1,Ruben Amorim,1,domenica 20 settembre 2026 - ore 20:45
70846,Pavlovic S.,pavlovic,D,Milan,3-5-1,Ruben Amorim,1,domenica 20 settembre 2026 - ore 20:45
69844,Chukwueze S.,chukwueze,C,Milan,3-5-1,Ruben Amorim,1,domenica 20 settembre 2026 - ore 20:45
116519,Cisse A.,cisse,C,Milan,3-5-1,Ruben Amorim,1,domenica 20 settembre 2026 - ore 20:45
16909,Modric L.,modric,C,Milan,3-5-1,Ruben Amorim,1,domenica 20 settembre 2026 - ore 20:45
53448,Pulisic C.,pulisic,C,Milan,3-5-1,Ruben Amorim,1,domenica 20 settembre 2026 - ore 20:45
38053,Rabiot A.,rabiot,C,Milan,3-5-1,Ruben Amorim,1,domenica 20 settembre 2026 - ore 20:45
96400,Goncalo Ramos,goncaloramos,A,Milan,3-5-1,Ruben Amorim,1,domenica 20 settembre 2026 - ore 20:45
38409,Falcone W.,falcone,P,Lecce,4-3-1,Di Francesco,1,domenica 20 settembre 2026 - ore 20:45
119839,Danilo Veiga,daniloveiga,D,Lecce,4-3-1,Di Francesco,1,domenica 20 settembre 2026 - ore 20:45
69407,Gallo A.,gallo,D,Lecce,4-3-1,Di Francesco,1,domenica 20 settembre 2026 - ore 20:45
120138,Siebert J.,siebert,D,Lecce,4-3-1,Di Francesco,1,domenica 20 settembre 2026 - ore 20:45
119838,Tiago Gabriel,tiagogabriel,D,Lecce,4-3-1,Di Francesco,1,domenica 20 settembre 2026 - ore 20:45
95265,Coulibaly L.,coulibaly,C,Lecce,4-3-1,Di Francesco,1,domenica 20 settembre 2026 - ore 20:45
60933,Maleh Y.,maleh,C,Lecce,4-3-1,Di Francesco,1,domenica 20 settembre 2026 - ore 20:45
118992,Pierotti S.,pierotti,C,Lecce,4-3-1,Di Francesco,1,domenica 20 settembre 2026 - ore 20:45
97629,Stulic N.,stulic,A,Lecce,4-3-1,Di Francesco,1,domenica 20 settembre 2026 - ore 20:45
